iter	Passed	Remaining
847	10977	53748
848	10991	53738
849	11005	53731
850	11018	53720
851	11031	53706
852	11043	53689
853	11054	53668
854	11069	53665
855	11083	53656
856	11097	53648
857	11107	53622
858	11117	53594
859	11131	53588
860	11145	53578
861	11158	53567
862	11172	53555
863	11185	53545
864	11199	53536
865	11213	53527
866	11226	53517
867	11240	53506
868	11253	53498
869	11267	53486
870	11280	53473
871	11293	53461
872	11306	53452
873	11319	53437
874	11333	53428
875	11346	53418
876	11360	53407
877	11373	53396
878	11386	53384
879	11399	53371
880	11413	53363
881	11427	53354
882	11440	53342
883	11454	53332
884	11466	53317
885	11479	53304
886	11492	53291
887	11506	53282
888	11520	53272
889	11532	53256
890	11546	53246
891	11560	53238
892	11573	53229
893	11586	53212
894	11599	53200
895	11612	53188
896	11626	53179
897	11639	53169
898	11653	53159
899	11667	53149
900	11679	53135
901	11692	53123
902	11706	53111
903	11719	53102
904	11733	53093
905	11745	53076
906	11759	53065
907	11773	53058
908	11786	53047
909	11800	53037
910	11814	53028
911	11827	53018
912	11841	53009
913	11854	52995
914	11867	52983
915	11880	52968
916	11893	52958
917	11907	52949
918	11921	52939
919	11935	52929
920	11948	52917
921	11962	52908
922	11975	52897
923	11989	52887
924	12002	52877
925	12016	52867
926	12030	52858
927	12039	52830
928	12054	52822
929	12067	52810
930	12080	52800
931	12094	52790
932	12108	52781
933	12121	52770
934	12135	52761
935	12149	52750
936	12160	52728
937	12172	52714
938	12186	52704
939	12199	52693
940	12213	52684
941	12227	52675
942	12241	52666
943	12255	52656
944	12267	52640
945	12281	52629
946	12294	52618
947	12308	52609
948	12322	52600
949	12335	52588
950	12349	52578
951	12363	52569
952	12375	52554
953	12389	52544
954	12401	52528
955	12415	52518
956	12428	52507
957	12441	52494
958	12455	52483
959	12468	52472
960	12482	52463
961	12496	52453
962	12509	52441
963	12523	52431
964	12537	52422
965	12550	52410
966	12563	52398
967	12576	52386
968	12590	52377
969	12604	52366
970	12617	52354
971	12630	52341
972	12644	52330
973	12657	52321
974	12671	52311
975	12685	52300
976	12698	52289
977	12712	52278
978	12725	52266
979	12738	52255
980	12752	52243
981	12765	52233
982	12779	52223
983	12792	52208
984	12805	52198
985	12820	52190
986	12832	52173
987	12845	52160
988	12858	52148
989	12872	52138
990	12885	52128
991	12899	52118
992	12913	52108
993	12927	52098
994	12940	52085
995	12952	52071
996	12965	52058
997	12979	52049
998	12993	52039
999	13005	52021
1000	13019	52011
1001	13031	51994
1002	13045	51986
1003	13059	51976
1004	13073	51968
1005	13083	51944
1006	13094	51923
1007	13108	51912
1008	13119	51891
1009	13126	51857
1010	13134	51822
1011	13141	51787
1012	13149	51753
1013	13156	51717
1014	13163	51683
1015	13171	51648
1016	13178	51612
1017	13185	51577
1018	13193	51542
1019	13200	51507
1020	13207	51471
1021	13214	51437
1022	13223	51405
1023	13230	51370
1024	13237	51333
1025	13243	51296
1026	13249	51258
1027	13256	51220
1028	13262	51182
1029	13272	51155
1030	13285	51144
1031	13299	51134
1032	13312	51125
1033	13326	51115
1034	13339	51102
1035	13352	51088
1036	13365	51077
1037	13379	51067
1038	13393	51058
1039	13406	51048
1040	13420	51038
1041	13431	51020
1042	13445	51010
1043	13459	51001
1044	13473	50991
1045	13486	50982
1046	13500	50973
1047	13514	50963
1048	13528	50954
1049	13540	50939
1050	13552	50921
1051	13565	50909
1052	13579	50900
1053	13593	50891
1054	13607	50881
1055	13620	50871
1056	13633	50858
1057	13646	50845
1058	13660	50835
1059	13674	50826
1060	13687	50816
1061	13701	50807
1062	13715	50797
1063	13729	50788
1064	13743	50778
1065	13756	50767
1066	13769	50753
1067	13782	50742
1068	13795	50730
1069	13809	50720
1070	13822	50709
1071	13836	50698
1072	13850	50689
1073	13862	50674
1074	13876	50664
1075	13890	50654
1076	13903	50644
1077	13917	50633
1078	13930	50623
1079	13944	50614
1080	13958	50603
1081	13971	50592
1082	13984	50581
1083	13998	50568
1084	14010	50553
1085	14020	50532
1086	14034	50522
1087	14048	50514
1088	14062	50504
1089	14074	50488
1090	14087	50475
1091	14101	50465
1092	14115	50455
1093	14127	50440
1094	14139	50424
1095	14147	50393
1096	14155	50362
1097	14162	50331
1098	14170	50299
1099	14177	50267
1100	14185	50234
1101	14192	50201
1102	14199	50168
1103	14207	50137
1104	14214	50105
1105	14224	50080
1106	14238	50071
1107	14251	50061
1108	14265	50051
1109	14278	50039
1110	14290	50023
1111	14304	50015
1112	14318	50004
1113	14332	49995
1114	14344	49981
1115	14358	49972
1116	14369	49951
1117	14382	49940
1118	14395	49928
1119	14407	49912
1120	14421	49901
1121	14431	49881
1122	14444	49867
1123	14455	49849
1124	14468	49834
1125	14481	49822
1126	14494	49812
1127	14504	49788
1128	14517	49774
1129	14530	49764
1130	14544	49754
1131	14557	49743
1132	14571	49733
1133	14584	49720
1134	14596	49704
1135	14609	49692
1136	14621	49678
1137	14634	49665
1138	14647	49652
1139	14660	49638
1140	14672	49624
1141	14685	49611
1142	14698	49600
1143	14709	49580
1144	14722	49569
1145	14735	49555
1146	14747	49539
1147	14761	49529
1148	14774	49517
1149	14787	49507
1150	14800	49492
1151	14812	49478
1152	14825	49464
1153	14837	49449
1154	14849	49434
1155	14861	49419
1156	14875	49408
1157	14888	49395
1158	14901	49384
1159	14915	49373
1160	14927	49358
1161	14939	49342
1162	14952	49330
1163	14965	49318
1164	14978	49307
1165	14992	49297
1166	15004	49282
1167	15013	49255
1168	15026	49244
1169	15040	49235
1170	15054	49225
1171	15068	49215
1172	15082	49206
1173	15095	49195
1174	15108	49181
1175	15121	49169
1176	15134	49156
1177	15147	49145
1178	15160	49132
1179	15174	49123
1180	15187	49113
1181	15201	49103
1182	15215	49093
1183	15229	49083
1184	15241	49069
1185	15255	49058
1186	15268	49045
1187	15281	49035
1188	15295	49025
1189	15308	49014
1190	15321	48999
1191	15331	48978
1192	15342	48959
1193	15350	48932
1194	15357	48901
1195	15365	48870
1196	15372	48840
1197	15379	48809
1198	15386	48778
1199	15394	48748
1200	15401	48719
1201	15409	48688
1202	15416	48659
1203	15424	48629
1204	15431	48600
1205	15439	48570
1206	15451	48556
1207	15465	48548
1208	15477	48532
1209	15491	48521
1210	15504	48510
1211	15517	48499
1212	15530	48487
1213	15544	48478
1214	15555	48460
1215	15568	48445
1216	15581	48436
1217	15595	48426
1218	15608	48413
1219	15622	48403
1220	15635	48392
1221	15649	48383
1222	15663	48373
1223	15676	48362
1224	15690	48351
1225	15703	48340
1226	15717	48330
1227	15730	48318
1228	15743	48306
1229	15757	48296
1230	15768	48279
1231	15781	48266
1232	15795	48256
1233	15807	48241
1234	15820	48229
1235	15833	48217
1236	15847	48207
1237	15860	48197
1238	15874	48187
1239	15887	48176
1240	15900	48162
1241	15913	48151
1242	15926	48139
1243	15940	48129
1244	15954	48119
1245	15968	48110
1246	15978	48090
1247	15992	48081
1248	16004	48064
1249	16016	48048
1250	16030	48039
1251	16044	48029
1252	16058	48020
1253	16071	48009
1254	16085	47998
1255	16097	47985
1256	16111	47974
1257	16123	47961
1258	16138	47952
1259	16151	47943
1260	16165	47933
1261	16179	47923
1262	16191	47906
1263	16204	47895
1264	16218	47885
1265	16232	47875
1266	16245	47865
1267	16259	47855
1268	16273	47845
1269	16287	47835
1270	16300	47825
1271	16315	47816
1272	16328	47803
1273	16341	47792
1274	16353	47778
1275	16367	47769
1276	16381	47759
1277	16393	47744
1278	16404	47726
1279	16416	47709
1280	16429	47697
1281	16442	47687
1282	16455	47674
1283	16469	47664
1284	16483	47654
1285	16497	47644
1286	16510	47634
1287	16522	47618
1288	16535	47605
1289	16549	47595
1290	16563	47585
1291	16576	47574
1292	16590	47563
1293	16602	47550
1294	16614	47533
1295	16628	47524
1296	16642	47514
1297	16655	47503
1298	16667	47488
1299	16681	47477
1300	16694	47465
1301	16706	47450
1302	16719	47438
1303	16732	47425
1304	16743	47406
1305	16756	47395
1306	16769	47384
1307	16781	47369
1308	16794	47356
1309	16808	47346
1310	16821	47334
1311	16835	47325
1312	16849	47314
1313	16862	47302
1314	16875	47291
1315	16888	47277
1316	16901	47265
1317	16914	47252
1318	16927	47239
1319	16939	47226
1320	16953	47215
1321	16966	47202
1322	16978	47188
1323	16991	47177
1324	17002	47156
1325	17014	47143
1326	17028	47134
1327	17041	47119
1328	17054	47108
1329	17067	47096
1330	17081	47085
1331	17095	47075
1332	17109	47066
1333	17122	47054
1334	17134	47040
1335	17145	47021
1336	17156	47003
1337	17170	46994
1338	17183	46982
1339	17196	46970
1340	17210	46958
1341	17222	46945
1342	17236	46934
1343	17249	46924
1344	17263	46914
1345	17277	46904
1346	17288	46884
1347	17302	46875
1348	17315	46862
1349	17329	46853
1350	17342	46841
1351	17356	46832
1352	17369	46819
1353	17383	46808
1354	17396	46797
1355	17410	46787
1356	17424	46778
1357	17438	46768
1358	17449	46750
1359	17463	46741
1360	17474	46722
1361	17487	46710
1362	17499	46694
1363	17513	46684
1364	17526	46673
1365	17540	46662
1366	17554	46652
1367	17567	46640
1368	17580	46629
1369	17594	46618
1370	17607	46605
1371	17619	46590
1372	17632	46578
1373	17645	46567
1374	17659	46557
1375	17672	46544
1376	17685	46531
1377	17697	46517
1378	17711	46506
1379	17721	46486
1380	17735	46477
1381	17750	46468
1382	17763	46457
